"SourcePath","Category","RegionUsage","AdapterPrefab","LicenseNote","Approved"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Tunel walls/Tunel walls fill.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Tunel walls/Tunel walls.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Tunel walls/Tunels.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Wall/Base wall side.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Wall/Base wall.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Wall2/Base wall 2 fill.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Wall2/Base wall 2 sides.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Wall2/Wall 2 Ellement.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/Climbing elements/Chains/Chains.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/Climbing elements/Climbing plants/Climbing plants Dry.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/Climbing elements/Climbing plants/Climbing plants small Dry.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/Climbing elements/Climbing plants/Climbing plants small.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/Climbing elements/Climbing plants/Climbing plants..png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/Climbing elements/Grass grid/Grass grid Tiled Dry.png","Terrain","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/Climbing elements/Grass grid/Grass grid Tiled.png","Terrain","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/Climbing elements/Grass grid/Grass grid with flowers Tiled.png","Terrain","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/1920x1080 resolution test.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/Action.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/arrow.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/bracket.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/Concept enemy icon.png","UI 미사용","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/Concept items.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/Exit.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/Flag and chest.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/Grid.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/info panel.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/Moving platform.png","Terrain","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/RoomBorder.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/ruler.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/Square.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/TestObj.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/White box danger zone.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/White box Door.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/White box fill.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/White box platform.png","Terrain","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/White box side.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/White box switch.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Bonus/--CONCEPT--/Concept sprites/White box.png","Prop","Common","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background A elements.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background A.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background B elements.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background B.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background A blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background A elements blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background B blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background B elements blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background C blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background C elements blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background D blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background D elements blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background Blur/Background E blur.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background C elements.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background C.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background D elements.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background D.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Background E.png","Background","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Crystal back trees.png","Prop","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Crystal elements.png","Prop","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Crystal platform.png","Terrain","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Crystal spike.png","Prop","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Crystal tree branches.png","Prop","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Crystal trees.png","Prop","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Crystals.png","Prop","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Dust Particle blur.png","VFX","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Dust Particle.png","VFX","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Front Crystals.png","Foreground","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
