recipe_id,seed,status,primary_rule,primary_severity,primary_measured,primary_threshold,primary_reason,course_digest,placement_digest,quality_digest
TALL_LOOP_RUN,1924737068,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,d7d6ce2cf61275e9f2056d233a64fa3610eea89bdc2d430846f8f6b21f848ea1,9b05321e3961307906c7d5ac207c93ea4eda800088de595acea2ce3ece456eae,9e3a49e23f2a8605509548606a991d12fdb76b95c5fafe36d54711b0c5969011
TALL_LOOP_RUN,1924737069,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,a3532f83d0031435e5714599cf602dceae430e519691033375d6949c67e2bdb2,0d6922f12cb9111c0b5950dafec86e2c8fdf8856478e72f8684c91022cd9fa10,f6f5531a32b19c09df5991e8116515931db9d6014392f52377186843ac919005
TALL_LOOP_RUN,1924737070,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,78712d5b04bb47c5b8f02f7aa4bb3a7fc06d263369ef979c001e1b6a442587cf,537cd37511adfd870d96c97e41aad9c329567b17370403b3cbfd3f8733973e18,c7518733d83af140731aa692b50f5a0f13165c9cd3c3d8faa540c06a8e96bb93
TALL_LOOP_RUN,1924737071,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,a7fe3e61bca5059bcb1fd60a858442bcd2c61e7f5136a292deb848ce3ed9c4cf,13cdc6b570ae14358ab88e7a79d6de5e794aee0769ef784c17dfbaedc40a3a92,9077ebbaa07e0b6abd092f09cf6ce346939b604ac88d5326ea4e5200b4a7f0ab
TALL_LOOP_RUN,1924737072,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,88cbae8096e1bf3e8cb800fa45885ad26d5fd29d61cde6cefbd7f6adf6077628,a9d5862b00935eb9ae3ed872630388112d144e66938bffa9f310e65927ee6d6f,36dce95dd2d56d88bb53ba466bfaaa6610dc1765279d444f54004f424b67a695
TALL_LOOP_RUN,1924737073,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,2aebd0a61787cf88246b9d8d4fabc4eb9bec9a037a7945ee114f1ef11643b97b,9fa5e3629cd830e55bb4d2b850cc99bc56b0f9d9938daaf47fd4af2667e0a2a1,97bea9c44fcc60cdd734a48cf38477a3496c149b4133827433daffe730cf0e1d
TALL_LOOP_RUN,1924737074,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,dd824027b0e6ee701b79fe28f73337b73e03e21397f4ed6f5a29b65ccc9179e3,0914ccdf0ece4af14434b06dcb8844fe31f8618f476563f2d957b3cca531797d,e2fff33bffbaaff994b4a3c4b2f809d024bf00a1cdd66489e71184c9210acbdd
TALL_LOOP_RUN,1924737075,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,578eac30b9278ed9f885acb1bebf11d7e7fb8af86703800db8639e66f1cb7f95,c93b93f64fe904d092490a181db5f91e3f3bfa99f52964b64f7eb0748206031a,ffad295cdf39c9168525ebdb6d1eff0fd316bb0294a41e1e913642e4e6dafb81
TALL_LOOP_RUN,1924737076,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,0a696376efe5a23d2fc2857230ba4a20c569424024d4565467117240d29ce0c3,5a981e1a75da8b6bb12bb060c4e2cf8a0010a11537cdf8230eb10ff248fdd9ff,4504a4ceaeef3a0f4095b17a471eb08cccf2f8461d9cd1c4685f57ff4425720b
TALL_LOOP_RUN,1924737077,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,426b68746641b5d8abefd00445a5253ba6d255a9d54ba5094d2621258663dd8e,457c8952700c4b91cba2d6e5661efa279170ce1f02de27518cd09351416fdb6a,b9202ac7c8698f2a03037a9f6a3488456faa0a9eca042575ff72c856c7e1cc62
TALL_LOOP_RUN,1924737078,Accepted,ROUTE_TOO_STRAIGHT,Info,3,4,Main-route row repetition stays within the recipe profile.,7c4c312c73a438399ab5c93cce5cb9f2c0177e79307a3b643c23270aaec32afc,c841dcb402a2d1076b946ff61aee6434186a0773adfe6f30ff79f6ecdd53fc56,f4cc4b409e94cd11c5b77a7f1cc8a02ae0ec14214b7d9da1ce4c70610ecfe8e4
